loading_bay, time_in, time_out, RFID, duration, violation
E1,2017-12-05 06:29:06,2017-12-05 06:30:06,9D:CA:30:5B,30 mins,30 mins
E24,2017-12-05 06:29:06,2017-12-05 06:30:06,15:CD:30:5B,30 mins,No
E25,2017-12-05 06:29:06,2017-12-05 06:30:06,51:5C:AA:89,30 mins,30 mins
E20,2017-12-05 06:21:06,2017-12-05 06:30:06,b_1,30 mins,No
E21,2017-12-05 06:2:06,2017-12-05 06:30:06,b_2,30 mins,30 mins
E22,2017-12-05 06:21:06,2017-12-05 06:30:06,b_3,30 mins,No
E23,2017-12-05 06:21:06,2017-12-05 06:30:06,b_4,30 mins,30 mins
E2,2017-12-05 06:21:06,2017-12-05 06:30:06,b_5,30 mins,No
E3,2017-12-05 06:22:06,2017-12-05 06:30:06,b_6,30 mins,30 mins
E4,2017-12-05 06:23:06,2017-12-05 06:30:06,b_7,30 mins,No
E5,2017-12-05 06:24:06,2017-12-05 06:30:06,b_8,30 mins,30 mins
E6,2017-12-05 06:25:06,2017-12-05 06:30:06,b_10,30 mins,No
E7,2017-12-05 05:26:06,2017-12-05 06:30:06,b_11,30 mins,30 mins
E8,2017-12-05 05:37:06,2017-12-05 06:30:06,b_12,30 mins,No
E9,2017-12-05 05:38:06,2017-12-05 06:30:06,b_13,30 mins,30 mins
E10,2017-12-05 05:39:06,2017-12-05 06:30:06,b_14,30 mins,No
E11,2017-12-05 06:30:06,2017-12-05 06:30:06,b_15,30 mins,30 mins
E12,2017-12-05 04:56:06,2017-12-05 06:30:06,b_16,30 mins,No
E13,2017-12-05 05:57:06,2017-12-05 06:30:06,b_17,30 mins,30 mins
E14,2017-12-05 05:58:06,2017-12-05 06:30:06,b_18,30 mins,No
E15,2017-12-05 05:59:06,2017-12-05 06:30:06,b_19,30 mins,30 mins
E16,2017-12-05 05:22:06,2017-12-05 06:30:06,b_20,30 mins,No
E17,2017-12-05 05:23:06,2017-12-05 06:30:06,b_21,30 mins,30 mins
E18,2017-12-05 05:24:06,2017-12-05 06:30:06,b_22,30 mins,No
E19,2017-12-05 05:25:06,2017-12-05 06:30:06,b_23,30 mins,30 mins
